,OutdoorUV,OutdoorVisibleRay_Lux,OutdoorTemperature_C,OutdoorHumidity_pct,OutdoorPressure_hPa,IndoorUV,IndoorVisibleRay_Lux,IndoorTemperature_C,IndoorHumidity_pct,IndoorPressure_hPa
145,4.6,56406.027344,31.65,25.946289,1012.74,0.08,1079.787231,27.24,33.086914,1011.72
146,4.61,56663.121094,31.83,25.93457,1012.79,0.08,1079.787231,27.24,33.108398,1011.72
147,4.6,56303.191406,31.94,25.724609,1012.72,0.09,1028.368774,27.24,33.052734,1011.78
148,4.6,56508.867188,32.04,25.615234,1012.75,0.08,925.531921,27.24,33.119141,1011.72
149,4.62,56457.445312,32.1,25.6875,1012.7,0.08,874.113464,27.23,32.851562,1011.78
150,4.59,56303.191406,32.08,25.708984,1012.7,0.06,668.439697,27.24,33.119141,1011.76
151,4.57,56097.519531,32.1,25.709961,1012.68,0.06,617.021301,27.24,33.119141,1011.74
152,4.57,56097.519531,32.18,25.658203,1012.71,0.05,565.602844,27.25,33.131836,1011.75
153,4.56,55891.84375,32.31,25.52832,1012.72,0.04,617.021301,27.26,33.120117,1011.76
154,4.55,55737.589844,32.41,25.385742,1012.71,0.05,617.021301,27.26,33.120117,1011.76
155,4.52,55531.914062,32.46,25.296875,1012.75,0.05,514.184387,27.26,33.120117,1011.75
156,4.51,55326.242188,32.5,25.310547,1012.76,0.05,565.602844,27.27,32.910156,1011.72
157,4.49,55069.148438,32.55,25.439453,1012.72,0.04,617.021301,27.28,33.066406,1011.78
158,4.45,54554.964844,32.51,25.505859,1012.76,0.04,565.602844,27.28,33.099609,1011.75
159,4.43,54246.453125,32.48,25.572266,1012.72,0.04,565.602844,27.27,33.099609,1011.75
160,4.39,53937.941406,32.5,25.595703,1012.79,0.04,514.184387,27.27,33.099609,1011.78
161,4.35,53269.503906,32.48,25.594727,1012.77,0.04,514.184387,27.27,33.088867,1011.76
162,4.27,52189.714844,32.38,25.521484,1012.82,0.04,565.602844,27.27,33.166016,1011.76
163,4.19,51367.019531,32.36,25.645508,1012.76,0.04,514.184387,27.27,33.099609,1011.78
164,4.09,50184.398438,32.38,25.600586,1012.76,0.04,514.184387,27.28,33.132812,1011.72
165,3.85,47253.546875,32.29,25.698242,1012.78,0.04,565.602844,27.29,32.967773,1011.79
166,3.74,45916.667969,32.26,25.674805,1012.72,0.04,565.602844,27.31,33.069336,1011.76
167,3.63,44425.53125,32.21,25.796875,1012.69,0.05,668.439697,27.31,33.057617,1011.75
168,3.49,42625.886719,32.17,25.839844,1012.74,0.05,719.858154,27.31,33.057617,1011.77
169,3.33,40877.660156,32.15,25.873047,1012.71,0.05,874.113464,27.31,32.84668,1011.7
170,3.22,39335.105469,32.04,26.026367,1012.74,0.06,976.950378,27.31,33.157227,1011.72
171,3.14,38460.992188,32.03,26.083008,1012.71,0.07,976.950378,27.3,33.045898,1011.73
